initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
11 325 497 541 565 1 72 614.813599 187.478500
15 327 498 542 558 1 104 56.222221 246.227966
15 329 501 545 556 1 96 192.181824 434.590912
17 330 501 544 555 1 18 191.000000 434.500000
9 324 495 539 550 0 NULL NULL NULL
17 331 501 545 554 0 NULL NULL NULL
11 325 495 539 547 0 NULL NULL NULL
9 330 504 548 556 0 NULL NULL NULL
14 329 501 544 555 1 4 190.000000 434.500000
15 331 502 547 570 1 162 367.348785 199.156357
13 332 503 547 558 1 24 214.527771 97.500000
16 333 504 548 559 1 7 224.533340 123.733330
17 333 505 549 560 0 NULL NULL NULL
12 329 501 545 556 0 NULL NULL NULL
12 328 498 542 552 0 NULL NULL NULL
17 333 504 549 558 0 NULL NULL NULL
12 330 501 546 555 0 NULL NULL NULL
14 328 499 543 561 1 67 565.314209 377.104034
12 326 496 540 565 1 60 220.436844 285.778961
11 325 499 543 556 1 62 255.935715 28.654762
16 328 499 543 552 1 9 224.533340 123.733330
13 327 506 556 565 1 5 224.666672 123.666664
15 363 547 591 601 0 NULL NULL NULL
initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
2 318 491 537 547 0 NULL NULL NULL
46 363 530 574 585 1 158 302.681610 350.553406
17 333 501 545 555 1 44 325.528809 469.146088
11 330 500 544 556 1 47 325.377777 469.206055
7 326 495 539 549 1 49 325.402863 469.711670
14 334 505 550 562 1 48 263.550232 331.388123
11 327 497 541 551 1 55 394.383911 387.668976
11 332 503 548 560 1 34 222.493423 344.241241
21 341 512 556 570 1 33 222.002426 343.963501
12 327 496 540 550 1 31 221.987656 343.913574
9 327 499 543 554 1 89 345.950623 255.641968
7 329 501 546 559 1 54 109.664253 428.864746
14 332 506 550 562 1 41 220.620987 285.900177
13 328 497 542 552 1 40 220.567703 285.946167
9 327 498 543 556 1 61 220.701752 285.360901
15 334 505 549 561 1 55 220.496292 345.029633
13 329 499 543 553 1 61 106.309006 351.486603
10 326 497 541 553 1 40 206.855072 385.494568
17 334 503 548 557 1 45 206.764984 385.812958
16 336 506 551 560 1 38 205.666672 386.054413
10 327 499 545 556 1 128 185.214615 436.954346
8 326 499 544 554 1 12 192.333328 439.833344
15 337 510 556 569 0 NULL NULL NULL
initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
2 315 486 531 542 0 NULL NULL NULL
41 358 527 571 583 1 123 149.299744 258.940582
16 334 504 549 562 1 43 325.545868 469.299774
10 328 496 540 552 1 79 249.138535 254.086578
15 332 502 546 557 1 77 339.507233 467.618347
13 330 499 543 555 1 44 263.647369 332.282471
10 329 499 543 556 1 44 222.335297 344.594116
10 329 500 544 556 1 61 394.090912 387.408081
16 333 503 547 559 1 34 425.284943 365.241943
13 331 501 544 556 1 53 431.961914 297.663483
9 326 496 540 551 1 73 391.052521 238.141418
15 332 501 545 555 1 101 346.530121 253.662643
13 333 511 556 568 1 97 309.860809 241.967026
12 331 505 549 561 1 67 251.194290 294.923798
9 338 514 558 568 1 65 251.614685 296.960236
15 349 522 566 575 1 4 225.500000 223.500000
15 333 502 546 557 0 NULL NULL NULL
12 328 497 541 553 0 NULL NULL NULL
10 330 501 545 555 0 NULL NULL NULL
17 332 502 546 557 0 NULL NULL NULL
12 331 500 544 553 0 NULL NULL NULL
9 321 487 530 540 0 NULL NULL NULL
15 332 500 544 555 0 NULL NULL NULL
13 330 499 542 551 0 NULL NULL NULL
11 330 500 544 553 0 NULL NULL NULL
16 327 493 537 548 0 NULL NULL NULL
14 331 500 544 554 0 NULL NULL NULL
12 327 496 540 553 1 23 518.962952 135.814819
17 333 500 544 560 1 88 479.168427 241.764908
16 333 502 547 557 0 NULL NULL NULL
12 329 498 541 551 0 NULL NULL NULL
8 325 493 536 547 0 NULL NULL NULL
15 332 501 545 555 0 NULL NULL NULL
