initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
0 1 1 1 7 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 1 9 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 0 5 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 1 1 1 8 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 1 8 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 1 1 9 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 2 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 1 1 1 9 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 0 9 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 1 1 8 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 0 0 0 5 0 NULL NULL NULL
0 1 1 1 6 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 2 7 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 1 1 8 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 1 1 2 7 0 NULL NULL NULL
0 0 0 0 8 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 1 1 1 6 0 NULL NULL NULL
0 1 1 1 1480 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 1 1 1 8 0 NULL NULL NULL
0 0 0 1 8 0 NULL NULL NULL
0 0 0 1 8 0 NULL NULL NULL
0 0 0 0 7 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 1 1 1 9 0 NULL NULL NULL
0 0 1 1 8 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 1 1 1 6 0 NULL NULL NULL
0 0 0 1 5 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 1 1 1 9 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 0 7 0 NULL NULL NULL
0 0 0 1 8 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 1 1 8 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 1 1 8 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 1 1 1 9 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 1 1 8 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 1 1 8 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 1 8 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 0 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
1 1 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 1 9 0 NULL NULL NULL
1 1 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
2 317 485 529 553 0 NULL NULL NULL
51 370 538 582 594 1 158 302.843872 350.673004
18 338 507 551 562 1 46 117.340134 337.408173
11 330 501 546 556 1 79 249.138535 254.086578
8 328 498 542 554 1 71 339.502411 467.628021
initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
0 0 0 1 6 0 NULL NULL NULL
0 34 35 35 40 0 NULL NULL NULL
1 16 17 17 22 0 NULL NULL NULL
0 1 1 1 10 0 NULL NULL NULL
0 4 5 5 13 0 NULL NULL NULL
0 7 7 8 13 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
0 10 10 11 16 0 NULL NULL NULL
0 10 10 10 15 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 11 16 0 NULL NULL NULL
0 10 10 10 15 0 NULL NULL NULL
0 10 11 11 17 0 NULL NULL NULL
0 9 9 10 17 0 NULL NULL NULL
0 7 7 8 13 0 NULL NULL NULL
0 9 10 10 17 0 NULL NULL NULL
0 8 8 9 13 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 11 12 12 16 0 NULL NULL NULL
0 11 12 12 17 0 NULL NULL NULL
0 10 10 10 15 0 NULL NULL NULL
0 10 11 11 17 0 NULL NULL NULL
0 9 10 10 17 0 NULL NULL NULL
0 8 8 8 14 0 NULL NULL NULL
0 9 10 10 14 0 NULL NULL NULL
0 11 11 12 16 0 NULL NULL NULL
0 11 11 12 16 0 NULL NULL NULL
0 10 10 10 18 0 NULL NULL NULL
0 7 8 8 13 0 NULL NULL NULL
0 10 10 11 16 0 NULL NULL NULL
0 10 10 10 15 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 11 15 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 12 12 12 18 0 NULL NULL NULL
0 9 9 10 14 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 11 15 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 10 15 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 11 15 0 NULL NULL NULL
0 11 11 11 17 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
0 10 10 11 16 0 NULL NULL NULL
0 10 10 10 16 0 NULL NULL NULL
0 9 10 10 16 0 NULL NULL NULL
0 9 9 10 15 0 NULL NULL NULL
0 10 10 10 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 11 15 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 10 15 0 NULL NULL NULL
0 10 11 11 15 0 NULL NULL NULL
0 11 11 12 17 0 NULL NULL NULL
0 10 10 10 15 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 11 18 0 NULL NULL NULL
0 7 8 8 13 0 NULL NULL NULL
0 0 0 0 8 0 NULL NULL NULL
0 1 1 1 6 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 0 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
1 1 1 1 7 0 NULL NULL NULL
0 1 1 1 8 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 0 8 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 1 1 1 6 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 0 7 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 1 1 8 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
1 1 1 1 7 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 2 7 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
1 1 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
1 1 1 1 7 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 0 1 1 8 0 NULL NULL NULL
1 1 1 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 0 19232 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
1 1 1 1 7 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 1 5 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
0 1 1 2 7 0 NULL NULL NULL
0 37 37 37 42 0 NULL NULL NULL
0 11 12 12 16 0 NULL NULL NULL
0 11 12 13 20 0 NULL NULL NULL
0 6 7 7 16 0 NULL NULL NULL
0 9 9 10 14 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
1 11 11 12 17 0 NULL NULL NULL
0 11 11 11 18 0 NULL NULL NULL
0 8 9 9 16 0 NULL NULL NULL
0 8 8 9 15 0 NULL NULL NULL
0 9 9 10 17 0 NULL NULL NULL
0 7 8 8 16 0 NULL NULL NULL
0 7 7 8 15 0 NULL NULL NULL
0 8 8 9 16 0 NULL NULL NULL
0 7 8 8 15 0 NULL NULL NULL
0 8 8 9 16 0 NULL NULL NULL
0 7 8 8 14 0 NULL NULL NULL
0 9 9 10 15 0 NULL NULL NULL
0 10 11 11 17 0 NULL NULL NULL
0 9 9 9 17 0 NULL NULL NULL
0 8 8 9 16 0 NULL NULL NULL
0 7 8 8 14 0 NULL NULL NULL
0 9 9 9 16 0 NULL NULL NULL
0 8 8 8 16 0 NULL NULL NULL
0 8 8 8 16 0 NULL NULL NULL
0 7 8 8 16 0 NULL NULL NULL
0 7 8 8 15 0 NULL NULL NULL
0 8 8 8 14 0 NULL NULL NULL
0 9 10 10 16 0 NULL NULL NULL
0 9 10 10 17 0 NULL NULL NULL
0 8 8 8 16 0 NULL NULL NULL
0 7 8 8 15 0 NULL NULL NULL
0 8 8 9 16 0 NULL NULL NULL
0 8 8 9 17 0 NULL NULL NULL
0 7 8 8 15 0 NULL NULL NULL
0 8 9 9 16 0 NULL NULL NULL
0 8 8 8 13 0 NULL NULL NULL
0 10 10 10 18 0 NULL NULL NULL
0 8 9 9 17 0 NULL NULL NULL
1 8 8 8 16 0 NULL NULL NULL
0 7 8 8 15 0 NULL NULL NULL
0 8 8 9 16 0 NULL NULL NULL
0 8 8 8 15 0 NULL NULL NULL
0 8 8 8 16 0 NULL NULL NULL
0 7 8 8 16 0 NULL NULL NULL
0 8 8 9 16 0 NULL NULL NULL
0 8 8 8 15 0 NULL NULL NULL
0 8 9 9 16 0 NULL NULL NULL
0 8 8 9 15 0 NULL NULL NULL
0 9 9 9 16 0 NULL NULL NULL
0 8 9 9 17 0 NULL NULL NULL
0 8 8 8 13 0 NULL NULL NULL
0 11 11 11 19 0 NULL NULL NULL
0 7 8 8 15 0 NULL NULL NULL
0 8 8 8 16 0 NULL NULL NULL
0 8 8 8 16 0 NULL NULL NULL
1 8 9 9 15 0 NULL NULL NULL
0 9 9 10 17 0 NULL NULL NULL
0 8 8 8 13 0 NULL NULL NULL
0 10 10 11 16 0 NULL NULL NULL
0 10 10 11 17 0 NULL NULL NULL
1 10 10 10 16 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
0 10 10 11 16 0 NULL NULL NULL
0 10 10 11 15 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 10 10 10 15 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 10 16 0 NULL NULL NULL
0 0 1 1 10 0 NULL NULL NULL
0 0 0 1 8 0 NULL NULL NULL
0 1 1 1 8 0 NULL NULL NULL
0 0 1 1 9 0 NULL NULL NULL
0 0 0 1 9 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 1 1 1 8 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 1 1 1 6 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 1 1 1 8 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 1 1 9 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 1 1 1 8 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 0 8 0 NULL NULL NULL
0 1 1 1 6 0 NULL NULL NULL
0 0 0 0 7 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 0 7 0 NULL NULL NULL
0 1 1 1 8 0 NULL NULL NULL
0 0 0 1 8 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 1 1 1 8 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 0 8 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
1 1 1 1 8 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 1 1 1 8 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 0 9 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 1 1 1 9 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
1 1 1 1 7 0 NULL NULL NULL
0 0 1 1 8 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 0 0 7 0 NULL NULL NULL
0 0 0 0 7 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 1 10 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 0 5 0 NULL NULL NULL
0 0 0 1 10 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 1 1 9 0 NULL NULL NULL
0 0 0 1 8 0 NULL NULL NULL
1 1 1 1 1137 0 NULL NULL NULL
1 1 1 1 7 0 NULL NULL NULL
0 0 0 0 8 0 NULL NULL NULL
0 1 1 1 6 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 0 0 1 7 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 1 1 1 6 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 0 0 6 0 NULL NULL NULL
0 0 1 1 7 0 NULL NULL NULL
0 0 0 1 6 0 NULL NULL NULL
0 1 1 1 7 0 NULL NULL NULL
initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
0 1 1 1 6 0 NULL NULL NULL
0 0 1 1 6 0 NULL NULL NULL
0 11 11 11 19 0 NULL NULL NULL
0 8 8 9 16 0 NULL NULL NULL
0 7 8 8 16 0 NULL NULL NULL
0 7 7 8 13 0 NULL NULL NULL
0 10 10 10 16 0 NULL NULL NULL
0 9 10 10 18 0 NULL NULL NULL
0 7 7 7 13 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
0 10 10 11 16 0 NULL NULL NULL
0 10 10 11 18 0 NULL NULL NULL
0 7 8 8 13 0 NULL NULL NULL
0 10 11 11 17 0 NULL NULL NULL
0 9 9 10 16 0 NULL NULL NULL
1 9 10 10 15 0 NULL NULL NULL
0 11 11 12 17 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 10 16 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 11 11 19 0 NULL NULL NULL
0 7 7 7 12 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 10 16 0 NULL NULL NULL
0 9 10 10 16 0 NULL NULL NULL
0 10 10 11 16 0 NULL NULL NULL
0 9 10 10 16 0 NULL NULL NULL
0 9 10 10 16 0 NULL NULL NULL
0 9 9 10 15 0 NULL NULL NULL
0 9 10 10 17 0 NULL NULL NULL
0 8 9 9 14 0 NULL NULL NULL
0 11 11 11 17 0 NULL NULL NULL
0 10 10 10 15 0 NULL NULL NULL
0 10 10 11 17 0 NULL NULL NULL
0 8 9 9 16 0 NULL NULL NULL
0 8 8 8 15 0 NULL NULL NULL
0 9 10 10 16 0 NULL NULL NULL
0 9 9 10 15 0 NULL NULL NULL
0 10 10 10 15 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 11 3954 0 NULL NULL NULL
0 16 16 16 22 0 NULL NULL NULL
0 5 5 5 11 0 NULL NULL NULL
0 10 10 10 16 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
0 10 10 11 16 0 NULL NULL NULL
0 10 10 11 17 0 NULL NULL NULL
0 9 9 9 16 0 NULL NULL NULL
0 10 11 11 18 0 NULL NULL NULL
0 7 8 8 12 0 NULL NULL NULL
0 11 11 12 16 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 10 11 15 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 11 11 12 16 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 11 11 12 16 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
0 1 1 1 6 0 NULL NULL NULL
0 1 1 2 9 0 NULL NULL NULL
0 4 5 5 10 0 NULL NULL NULL
0 10 11 11 15 0 NULL NULL NULL
0 11 11 11 16 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 11 11 18 0 NULL NULL NULL
0 7 7 7 12 0 NULL NULL NULL
0 11 11 12 19 0 NULL NULL NULL
0 7 8 8 14 0 NULL NULL NULL
0 8 8 9 16 0 NULL NULL NULL
0 7 8 8 15 0 NULL NULL NULL
0 7 8 8 15 0 NULL NULL NULL
0 8 8 9 16 0 NULL NULL NULL
0 7 8 8 15 0 NULL NULL NULL
0 7 7 8 13 0 NULL NULL NULL
0 10 10 11 16 0 NULL NULL NULL
0 8 9 9 14 0 NULL NULL NULL
0 9 9 10 15 0 NULL NULL NULL
0 10 10 10 16 0 NULL NULL NULL
0 8 9 9 14 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
0 9 9 10 15 0 NULL NULL NULL
1 10 10 10 16 0 NULL NULL NULL
0 9 10 10 18 0 NULL NULL NULL
0 7 7 8 13 0 NULL NULL NULL
0 8 9 9 17 0 NULL NULL NULL
0 7 8 8 14 0 NULL NULL NULL
0 9 9 10 19 0 NULL NULL NULL
1 5 5 6 11 0 NULL NULL NULL
0 9 9 10 15 0 NULL NULL NULL
0 10 10 11 17 0 NULL NULL NULL
0 7 8 8 13 0 NULL NULL NULL
0 9 9 10 15 0 NULL NULL NULL
0 10 11 11 17 0 NULL NULL NULL
0 9 9 9 15 0 NULL NULL NULL
0 9 10 10 16 0 NULL NULL NULL
0 9 10 10 16 0 NULL NULL NULL
0 9 9 9 15 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
0 9 9 10 15 0 NULL NULL NULL
0 10 11 11 17 0 NULL NULL NULL
0 7 8 8 15 0 NULL NULL NULL
0 8 8 9 14 0 NULL NULL NULL
0 10 10 10 15 0 NULL NULL NULL
0 10 11 12 17 0 NULL NULL NULL
0 9 10 10 16 0 NULL NULL NULL
0 10 10 10 15 0 NULL NULL NULL
0 9 10 10 17 0 NULL NULL NULL
0 8 8 9 14 0 NULL NULL NULL
0 10 10 10 15 0 NULL NULL NULL
0 10 11 11 16 0 NULL NULL NULL
0 10 11 11 15 0 NULL NULL NULL
0 12 12 12 20 0 NULL NULL NULL
0 6 7 7 14 0 NULL NULL NULL
0 8 8 8 16 0 NULL NULL NULL
0 7 8 8 15 0 NULL NULL NULL
0 7 8 8 14 0 NULL NULL NULL
0 9 10 10 16 0 NULL NULL NULL
0 8 9 9 15 0 NULL NULL NULL
0 9 9 10 15 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
0 9 10 10 15 0 NULL NULL NULL
0 9 9 9 15 0 NULL NULL NULL
initialPart backgroundSubtraction averageBackgroundUpdate thresholding blobdetection nrOfBlobs blobArea centroidX controidY
